Dwell Time At Floor (>0.5f), Last Element Looked At Name, Last Element Looked At ID, Next Element Checked off list (Name), Next Element Checked off list (ID)
0.0981833,Basic Wall:Generic - 200mm:347943,0,Basic Wall:Generic - 200mm:347943,0
0.2202456,Assembled Stair:Stair:349153 Run 1,7,Basic Wall:Generic - 200mm:347943,0
0.1175694,Assembled Stair:Stair:349153 Run 1,7,Railing:1100mm:349532,2
1.595178,Assembled Stair:Stair:349153 Stringer 1,4,Assembled Stair:Stair:349153 Stringer 1,4
2.380008,Railing:1100mm:349536,8,Assembled Stair:Stair:349153 Stringer 1,4
0.9339385,Railing:1100mm:349536,8,Assembled Stair:Stair:349153 Stringer 1,4
1.814093,Railing:1100mm:349536,8,Assembled Stair:Stair:349153 Stringer 1,4
2.572637,Assembled Stair:Stair:349153 Stringer 1,4,Assembled Stair:Stair:349153 Stringer 1,4
2.718765,Assembled Stair:Stair:349153 Stringer 1,4,Assembled Stair:Stair:349153 Stringer 1,4
0.7238474,Assembled Stair:Stair:349153 Run 1,7,Assembled Stair:Stair:349153 Stringer 1,4
6.57858,Assembled Stair:Stair:349153 Stringer 1,4,Basic Wall:Generic - 200mm:347460,5
