FloorTileID, FloorHitCount, FloorTimeCount
1,0,0
2,0,0
3,0,0
4,12,0.375064
5,290,3.420702
6,2472,32.85292
7,6686,57.73577
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,5,0.1397925
15,273,1.938867
16,11386,68.01056
17,658,3.567142
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,2,0.0180301
25,4574,33.78291
26,315,2.050103
27,7,0.1760066
28,1,0.0231062
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,1,0.024671
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,2,0.0232428
51,21,0.5178056
52,32,0.8846954
53,358,3.969445
54,0,0
55,0,0
56,0,0
57,0,0
58,4,0.1349624
59,11,0.2345536
60,1,0.0826237
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
