Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1030058,1.777754,-0.7202312,-0.2420234,324.14,334.7722,9.11E-07,1.087149,0.4517662,1.224107,35.84311,154.6997,355.826
0.2318406,1.781925,-0.7206344,-0.239966,324.1311,334.6183,-2.07E-07,1.087216,0.4511248,1.224471,35.83727,154.641,355.4532
0.3650193,1.782458,-0.7162423,-0.2425488,324.274,334.6647,-6.96E-07,1.087829,0.4515969,1.225116,35.65863,154.7157,355.1666
0.4696739,1.777907,-0.7139012,-0.2454847,324.3523,334.8746,-4.72E-07,1.08789,0.4516538,1.226472,35.49064,155.0088,355.1591
0.5982487,1.771276,-0.7224291,-0.2409635,324.0849,335.0491,7.58E-07,1.087916,0.4501924,1.228413,36.1021,155.143,355.0651
0.7003906,1.76803,-0.7254568,-0.2393592,323.9786,335.141,-7.06E-07,1.08803,0.4500886,1.229015,36.03584,155.1737,354.9669
0.8309276,1.763743,-0.7385324,-0.231391,323.5493,335.1711,-5.10E-07,1.088525,0.4494579,1.228213,36.62682,155.0784,355.0592
0.93181,1.770142,-0.7495635,-0.2207897,323.1814,334.8067,-1.43E-06,1.088992,0.448319,1.226905,36.90543,154.5027,354.6837
1.065519,1.771302,-0.7605648,-0.2132297,322.8013,334.6221,-4.92E-07,1.088269,0.4482687,1.224178,37.57692,154.6472,354.7105
1.166171,1.765425,-0.7596701,-0.217782,322.8033,334.8452,-4.77E-07,1.087682,0.4522519,1.220747,36.89981,155.4686,354.8173
1.297064,1.746341,-0.7368544,-0.2470295,323.5814,335.8553,8.61E-07,1.088456,0.450511,1.217922,35.63747,157.3354,355.54
1.40174,1.736437,-0.7359859,-0.2543368,323.6195,336.2831,3.23E-08,1.090835,0.4497378,1.216804,36.52879,156.7952,355.4006
1.539479,1.737026,-0.7339895,-0.2579029,323.6794,336.3444,1.51E-06,1.092762,0.4515099,1.215949,36.14172,156.459,355.5283
1.665187,1.735546,-0.7275209,-0.2656528,323.8991,336.5333,2.31E-07,1.093922,0.4512352,1.214832,35.93562,156.7586,355.5936
1.768187,1.732299,-0.7257667,-0.2699229,323.9649,336.7237,7.46E-08,1.095145,0.45058,1.214792,36.00039,157.0541,355.6835
1.897762,1.734209,-0.7243784,-0.2707108,324.0109,336.7149,-2.18E-07,1.095307,0.4507317,1.216134,35.72616,156.5494,355.5551
1.998716,1.733839,-0.7215742,-0.2728378,324.1079,336.7666,5.11E-07,1.094909,0.4509653,1.2165,35.65226,156.963,355.6502
2.131433,1.735008,-0.7180695,-0.2751528,324.2388,336.7748,6.09E-07,1.09522,0.4500943,1.216448,35.68546,156.6502,355.6258
2.26488,1.732738,-0.7207035,-0.2742979,324.1472,336.8288,-6.56E-07,1.094863,0.4510152,1.215632,35.94006,157.0494,355.6116
2.365346,1.730852,-0.7222773,-0.2736759,324.0956,336.8922,-1.79E-07,1.095499,0.4509815,1.2167,36.01808,156.8396,355.7029
2.468589,1.734581,-0.7211742,-0.2724041,324.1277,336.7612,2.13E-07,1.095131,0.4514846,1.21696,35.61925,156.5728,355.6661
2.602475,1.734691,-0.7213412,-0.2717891,324.1316,336.7529,-2.95E-07,1.094944,0.4501588,1.218219,35.9292,156.896,355.7896
2.732107,1.735768,-0.7227895,-0.2694748,324.0798,336.6975,7.31E-07,1.094969,0.4507521,1.218866,35.92854,156.5844,355.7593
2.864952,1.735787,-0.721908,-0.2692159,324.1114,336.7049,1.06E-06,1.09478,0.4505132,1.220763,35.85211,156.6101,355.9817
2.998483,1.736853,-0.7207524,-0.2684802,324.147,336.6648,-4.23E-07,1.094218,0.4504801,1.221844,35.74667,156.7055,356.0262
3.102877,1.737836,-0.7196151,-0.2681934,324.1836,336.6296,-6.22E-07,1.093598,0.4506175,1.222641,35.70982,156.4582,355.7908
3.230983,1.73759,-0.7189968,-0.2679534,324.2032,336.6311,-1.11E-07,1.092787,0.4512725,1.22338,35.79562,156.6846,356.1553
