Timestamp, EleName, EleId, Value, Note
42.12932,Basic Wall:Generic - 200mm:347943,0,correct,
53.06957,Switch_-_Double_3951:Double Switch:361458,3,correct,
56.08356,Switch_-_Double_3951:Double Switch:361137,12,other,
62.42785,Switch_-_Double_3951:Double Switch:361137,12,other,15cm
68.92214,Switch_-_Double_3951:Double Switch:361508,13,incorrect,
75.71609,Switch_-_Double_3951:Double Switch:361508,13,incorrect,60cm
97.41564,Basic Wall:Generic - 200mm:347460,5,other,
107.6231,Basic Wall:Generic - 200mm:347460,5,other,30cm
115.8661,Phone,21,incorrect,
121.0613,Phone,21,incorrect,
128.4879,Phone,21,incorrect,200cm
142.6578,PHILIPS_luxspace-light:377282,20,other,
143.4736,PHILIPS_luxspace-light:377282,20,other,
145.3888,Basic Wall:Generic - 200mm:350060,11,other,
146.6876,Basic Wall:Generic - 200mm:347656,14,other,
158.9589,Basic Wall:Generic - 200mm:347656,14,other,
162.2054,Basic Wall:Generic - 200mm:350060,11,other,
186.8308,Basic Wall:Generic - 200mm:347656,14,other,
190.6277,Basic Wall:Generic - 200mm:347656,14,other,30cm
201.9499,Basic Wall:Generic - 200mm:350060,11,other,
205.347,Basic Wall:Generic - 200mm:350060,11,other,30cm
212.7731,Basic Wall:Generic - 200mm:350286,1,incorrect,
223.6957,Basic Wall:Generic - 200mm:350286,1,incorrect,
224.5116,Basic Wall:Generic - 200mm:350286,1,other,
224.5116,Basic Wall:Generic - 200mm:350286,1,other,
227.6753,Basic Wall:Generic - 200mm:350286,1,other,40cm
282.2307,Assembled Stair:Stair:349153 Run 1,7,other,
286.9617,Assembled Stair:Stair:349153 Run 1,7,other,
287.2283,Assembled Stair:Stair:349153 Run 1,7,correct,
299.4225,Assembled Stair:Stair:349153 Stringer 1,4,correct,
300.0056,Assembled Stair:Stair:349153 Stringer 1,4,correct,
300.8218,Assembled Stair:Stair:349153 Stringer 1,4,correct,
301.305,Assembled Stair:Stair:349153 Stringer 1,4,correct,
354.0231,Assembled Stair:Stair:349153 Stringer 1,4,correct,
362.0847,Assembled Stair:Stair:349153 Stringer 2,6,correct,
371.3112,Assembled Stair:Stair:349153 Stringer 2,6,correct,didnt highlight
379.0708,Assembled Stair:Stair:349153 Stringer 2,6,correct,
405.8196,Railing:1100mm:349532,2,correct,
414.3303,Railing:1100mm:349536,8,correct,
435.617,M_Rectangular Column:475 x 610mm:365844,9,other,
444.6092,M_Rectangular Column:475 x 610mm:365844,9,other,50cm
456.885,M_Rectangular Column:475 x 610mm:365701,10,correct,
472.7939,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,
480.038,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,120cm
486.5997,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,130cm
508.5821,PHILIPS_luxspace-light1,16,UNASSIGNED,30cm
509.5479,PHILIPS_luxspace-light1,16,other,30cm
515.046,PHILIPS_luxspace-light:378021,17,other,
519.2944,PHILIPS_luxspace-light:378021,17,other,20cm
529.7081,LiftSign,18,other,
539.7051,LiftSign,18,other,25cm
549.4346,PHILIPS_luxspace-light:376308,19,other,
553.4333,PHILIPS_luxspace-light:376308,19,other,20cm
563.3796,PHILIPS_luxspace-light:377282,20,other,
566.4283,PHILIPS_luxspace-light:377282,20,other,30cm
579.2744,ExitSign,22,other,
584.0395,ExitSign,22,other,50cm
599.1842,PHILIPS_luxspace-light:377731,23,other,
602.8327,PHILIPS_luxspace-light:377731,23,other,10cm
615.8782,PHILIPS_luxspace-light2,24,other,
618.9267,PHILIPS_luxspace-light2,24,other,10cm
629.2578,PHILIPS_luxspace-light:377085,25,other,
632.9897,PHILIPS_luxspace-light:377085,25,other,10cm
658.2477,PHILIPS_luxspace-light:376919,26,incorrect,
662.4127,PHILIPS_luxspace-light:376919,26,incorrect,60cm
672.5103,PHILIPS_luxspace-light:376148,29,correct,
681.0412,FireExtinguisherSign2,28,correct,
689.8731,ExitSign2,27,other,
694.0886,ExitSign2,27,other,30cm
