Timestamp, EleName, EleId, Value, Note
65.07558,Basic Wall:Generic - 200mm:347943,0,correct,
84.8585,Basic Wall:Generic - 200mm:350286,1,correct,
133.4157,Assembled Stair:Stair:349153 Run 1,7,correct,
149.1683,M_Rectangular Column:475 x 610mm:365844,9,correct,
149.5346,M_Rectangular Column:475 x 610mm:365701,10,correct,
167.2516,M_Rectangular Column:475 x 610mm:365844,9,other,
167.2516,M_Rectangular Column:475 x 610mm:365844,9,other,
207.1668,Basic Wall:Generic - 200mm:347656,14,incorrect,
211.4315,Basic Wall:Generic - 200mm:347656,14,incorrect,door
214.3455,Basic Wall:Generic - 200mm:350060,11,correct,
256.9405,PHILIPS_luxspace-light:377282,20,other,
275.5426,PHILIPS_luxspace-light:377282,20,other,looks more centered
336.9396,PHILIPS_luxspace-light:377282,20,other,
365.0655,Phone,21,incorrect,
373.1263,Phone,21,incorrect,other wall
390.0286,Phone,21,incorrect,opposite wall
453.6405,ExitSign,22,other,
476.0063,ExitSign,22,other,further left
573.2025,PHILIPS_luxspace-light:377085,25,other,
587.2133,PHILIPS_luxspace-light:377731,23,correct,
640.7267,Switch_-_Double_3951:Double Switch:361508,13,other,
653.7226,Switch_-_Double_3951:Double Switch:361508,13,other,mor3 led5 next to 13
670.2484,Switch_-_Double_3951:Double Switch:361508,13,other,more left next to 13
676.8131,Switch_-_Double_3951:Double Switch:361137,12,correct,
684.5258,Switch_-_Double_3951:Double Switch:361458,3,correct,
690.7564,Switch_-_Double_3951:Double Switch:361458,3,other,
690.7564,Switch_-_Double_3951:Double Switch:361458,3,other,
693.4719,Switch_-_Double_3951:Double Switch:361458,3,other,
694.2049,Switch_-_Double_3951:Double Switch:361458,3,correct,
694.2049,Switch_-_Double_3951:Double Switch:361458,3,correct,
767.9416,PHILIPS_luxspace-light1,16,correct,
785.935,PHILIPS_luxspace-light:376148,29,correct,
870.6024,Assembled Stair:Stair:349153 Stringer 2,6,correct,
880.7319,Railing:1100mm:349536,8,correct,
916.5667,Basic Wall:Generic - 200mm:347460,5,correct,
947.904,Assembled Stair:Stair:349153 Stringer 1,4,other,
963.2314,Assembled Stair:Stair:349153 Stringer 1,4,other,closer to stairs
975.8598,Railing:1100mm:349532,2,correct,
1047.714,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,other,
1052.633,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
1052.633,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
1072.63,PHILIPS_luxspace-light:378021,17,other,
1091.014,PHILIPS_luxspace-light:378021,17,other,more behind the exit sign
1140.827,LiftSign,18,other,
1147.327,LiftSign,18,other,hard to tell
1182.159,PHILIPS_luxspace-light:376308,19,correct,
1184.85,PHILIPS_luxspace-light:376919,26,correct,
1202.46,FireExtinguisherSign2,28,correct,
1253.283,PHILIPS_luxspace-light2,24,other,
1268.079,PHILIPS_luxspace-light2,24,other,not a light there but 2 close by
1330.027,ExitSign2,27,other,
1352.751,ExitSign2,27,other,needs to be centered on top of the door
