Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.12,0,0,2,0,180,0,0,0,0,0,0,0
0.2405459,0,0,2,0,180,0,0,0,0,0,0,0
0.407213,0,0,2,0,180,0,0,0,0,0,0,0
0.5172424,0,0,2,0,180,0,0,0,0,0,0,0
0.6172621,0,0,2,0,180,0,0,0,0,0,0,0
0.7178808,0.1766057,0.1046719,1.989436,3,185.073,0,0,0,0,357,5.07295,1.335852E-08
0.8178817,0.475687,0.4158234,1.897581,12,194.0729,0,0,0,0,348,14.07295,0
0.9186803,0.5641182,0.6073187,1.820147,17.67752,197.2198,0,0,0,0,342.3225,17.21978,6.720646E-07
1.018681,0.5560018,0.7914716,1.750553,23.31187,197.6206,-4.648337E-07,0,0,0,336.6881,17.62063,-2.324169E-07
1.118737,0.6461403,0.796176,1.717151,23.4587,200.6206,0,0,0,0,336.5413,20.62063,-4.653492E-07
1.218979,0.9113043,0.7748706,1.602841,22.79501,209.6206,-9.261053E-07,0,0,0,337.205,29.62064,-9.261054E-07
1.319085,2.681422,1.294432,3.359761,4.150136,189.57,1.605034E-07,-0.001680325,5.810478E-11,0.001177488,343.2419,38.62064,-1.337462E-06
1.420057,2.908678,1.269785,3.323707,4.150136,189.57,-5.350114E-08,-0.01559676,0.0005847235,0.01589517,343.9617,41.47832,-3.553403E-06
1.520101,1.399166,0.3235084,1.417966,9.159619,226.8783,0,-0.04202528,0.005137597,0.06829659,350.8404,46.87825,-3.459204E-06
1.620803,1.389274,0.3014592,1.516707,8.28094,227.2052,4.313844E-07,-0.06300831,0.01340523,0.1721248,351.7191,47.20523,-3.882461E-06
1.721354,1.421304,0.3152252,1.621332,8.28094,227.2052,4.313844E-07,-0.03097845,0.02717127,0.2767501,351.7191,47.20523,-3.882461E-06
1.821465,3.204047,0.7410502,3.313647,4.150136,189.57,-5.350114E-08,0.02844098,0.04158983,0.3583912,350.8404,47.0584,-3.026803E-06
1.922459,3.020411,0.9786943,3.326839,4.150136,189.57,-5.350114E-08,0.09825774,0.06108959,0.4287204,347.431,45.23661,-3.498948E-06
2.02356,2.99585,1.171394,3.31689,4.150136,189.57,-5.350114E-08,0.1683078,0.08317435,0.4981944,344.7535,45.08978,-3.097219E-06
2.124185,1.555751,0.840609,1.881296,21.28346,225.0898,9.162667E-07,0.2359289,0.1146445,0.5656039,338.7166,45.08978,-3.665067E-06
2.224193,1.621747,0.8769103,1.947086,21.28346,225.0898,9.162667E-07,0.3019255,0.1509458,0.6313939,338.7166,45.08978,-3.665067E-06
2.324294,1.654877,1.012567,1.986817,24.32039,224.9429,-9.369189E-07,0.3674492,0.1888894,0.6968225,335.6796,44.94295,-3.747675E-06
2.424498,1.71938,1.053835,2.051448,24.32039,224.9429,0,0.431952,0.2301574,0.7614539,335.6796,44.94295,-3.747675E-06
2.524498,1.783752,1.095019,2.115948,24.32039,224.9429,-9.369189E-07,0.4963239,0.2713416,0.8259541,335.6796,44.94295,-3.747675E-06
2.625749,2.940943,1.269074,3.318859,4.150136,189.57,2.675057E-08,0.5625606,0.3083744,0.8928645,344.2103,44.43221,-4.879888E-06
2.726236,2.974133,0.7290821,3.352714,4.150136,189.57,-5.350114E-08,0.6310993,0.3306018,0.9627753,353.2103,44.43221,-4.513969E-06
2.826863,2.999908,0.313666,3.379005,4.150136,189.57,-5.350114E-08,0.7012476,0.3392809,1.034328,0.4469486,44.43221,-4.655875E-06
2.927516,2.157923,0.05423202,2.512812,351.9494,224.579,2.155679E-07,0.7679723,0.334327,1.102286,8.050595,44.57904,-4.526925E-06
3.028099,2.19611,0.04521405,2.551564,351.9125,224.579,-2.155876E-07,0.806286,0.3265856,1.141167,8.08753,44.57904,-4.742927E-06
3.1281,2.199638,-0.04485681,2.555145,349.3818,224.579,-4.343238E-07,0.8198899,0.3236713,1.154972,10.61823,44.57904,-4.343238E-06
3.228103,2.201017,-0.04522524,2.556544,349.3818,224.579,-4.343238E-07,0.8212692,0.3233029,1.156372,10.61823,44.57904,-4.343238E-06
3.328223,2.201017,-0.04522524,2.556544,349.3818,224.579,-4.343238E-07,0.8212692,0.3233029,1.156372,10.61823,44.57904,-4.343238E-06
3.428313,2.197091,-0.04417651,2.55256,349.3818,224.579,0,0.817343,0.3243516,1.152387,10.61823,44.57904,-4.343238E-06
3.528588,2.176365,-0.03864062,2.531527,349.3818,224.579,0,0.796617,0.3298874,1.131354,10.61823,44.57904,-4.343238E-06
3.629288,2.127924,-0.02570217,2.482369,349.3818,224.579,-4.343238E-07,0.748176,0.3428259,1.082196,10.61823,44.57904,-4.343238E-06
3.72966,2.067267,0.05728073,2.419059,351.2724,224.616,2.159438E-07,0.6788293,0.3607553,1.011884,8.727617,44.61598,-5.182652E-06
3.830507,2.01049,0.2472635,2.361516,356.3877,224.616,0,0.6085774,0.3732729,0.9406837,3.612294,44.61598,-4.705103E-06
3.931157,1.941961,0.4372767,2.292061,1.787636,224.616,5.338683E-08,0.537941,0.3748866,0.869094,358.2124,44.61598,-4.751428E-06
4.031562,1.869656,0.4906115,2.218781,3.4626,224.616,0,0.4675173,0.3698175,0.79772,356.5374,44.61598,-4.811259E-06
4.13248,1.938174,0.550894,2.011215,5.36679,230.2619,-2.143831E-07,0.4069667,0.3638315,0.7382606,354.6332,50.26188,-4.930813E-06
4.233095,2.083758,0.5684069,1.729846,5.987433,239.2619,4.292283E-07,0.3741111,0.3597863,0.7131927,354.0126,59.26188,-4.506897E-06
4.333382,2.133951,0.5672227,1.615799,5.987432,242.8348,0,0.3642697,0.358602,0.7076659,354.0126,62.83484,-5.365354E-06
4.433604,2.181589,0.5472834,1.520239,5.414485,245.9087,2.144E-07,0.3639423,0.3585635,0.707498,354.5855,65.90871,-5.36E-06
4.534165,1.434705,0.3878858,0.9962372,8.537729E-06,260.0501,0,0.3639423,0.3585635,0.707498,358.4854,74.90871,-5.818366E-06
4.634408,1.624597,0.2972364,0.8420292,16.29898,181.9521,2.779761E-08,0.3639423,0.3585635,0.707498,2.769373,83.90871,-5.556017E-06
4.734453,2.350612,0.2568127,0.9143583,357.0838,264.0555,1.068601E-07,0.3639423,0.3585635,0.707498,2.916203,84.05554,-5.449864E-06
4.835242,2.335843,0.1410662,0.9610813,353.7568,262.6721,-2.147168E-07,0.3639423,0.3585635,0.707498,6.243186,82.67207,-5.153203E-06
4.935671,2.325037,0.07839298,0.9824794,351.9472,262.0181,0,0.3639423,0.3585635,0.707498,8.052779,82.01811,-4.742518E-06
5.035684,2.325037,0.07839298,0.9824794,351.9472,262.0181,0,0.3639423,0.3585635,0.707498,8.052779,82.01811,-4.742518E-06
5.13585,2.325037,0.07839298,0.9824794,351.9472,262.0181,0,0.3639423,0.3585635,0.707498,8.052779,82.01811,-4.742518E-06
5.236174,2.317176,0.03073127,0.9826612,350.5638,261.9812,4.327425E-07,0.3635296,0.3586316,0.7074398,9.436254,81.98119,-3.894682E-06
5.336852,2.305573,0.03267879,0.9810266,350.5638,261.9812,4.327425E-07,0.3519261,0.3605792,0.7058051,9.436254,81.98119,-3.894682E-06
5.437523,2.262162,0.0285829,0.9749109,350.2368,261.9812,0,0.3103999,0.3677372,0.6999551,9.763235,81.98119,-3.898443E-06
5.537644,2.1791,0.04301643,0.9632095,350.2368,261.9812,0,0.227338,0.3821707,0.6882537,9.763235,81.98119,-3.898443E-06
5.63766,2.081496,0.05997686,0.9494594,350.2368,261.9812,0,0.1297344,0.3991311,0.6745037,9.763235,81.98119,-3.898443E-06
5.738745,1.982849,0.07711858,0.9355624,350.2368,261.9812,0,0.03108732,0.4162728,0.6606067,9.763235,81.98119,-3.898443E-06
5.839639,1.884388,0.09422798,0.9216916,350.2368,261.9812,0,-0.0673735,0.4333822,0.6467359,9.763235,81.98119,-3.898443E-06
5.939754,1.786689,0.111205,0.9079281,350.2368,261.9812,0,-0.1650727,0.4503593,0.6329724,9.763235,81.98119,-3.898443E-06
6.039906,1.715904,0.4355019,0.9043908,359.2368,261.7974,-2.668279E-08,-0.2634597,0.462143,0.6190688,0.7632331,81.7974,-4.269246E-06
6.140024,1.592183,0.7447611,0.9171007,8.23677,260.8975,-4.313363E-07,-0.3622596,0.458233,0.6039618,351.7632,80.89748,-4.744699E-06
6.240025,1.431323,1.032689,0.8962144,17.23677,260.7507,8.939212E-07,-0.4540178,0.4400467,0.5891897,342.7632,80.75066,-6.257447E-06
6.340231,1.341125,1.129345,0.8815255,20.69319,260.7507,-9.126525E-07,-0.5055211,0.4226174,0.5808024,339.3068,80.75066,-7.301218E-06
6.44124,1.242518,1.309426,0.8631327,26.55087,260.8245,-1.90886E-06,-0.523666,0.4154421,0.5778498,333.4491,80.82454,-8.589868E-06
6.541799,1.087354,1.577403,0.7940522,35.55086,262.3549,0,-0.5253814,0.4145516,0.5775736,324.4491,82.35484,-4.197512E-06
6.64234,1.006847,1.684809,0.7743505,39.42954,262.6818,0,-0.5253814,0.4145516,0.5775736,320.5705,82.68182,-6.632056E-06
6.742989,1.006035,1.685805,0.7742463,39.46648,262.6818,-4.423716E-06,-0.5253814,0.4145516,0.5775736,320.5335,82.68182,-4.423717E-06
