Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.132509,-0.5248943,-0.6663373,5.963809,356.9421,172.3504,-5.343694E-08,-0.006351946,0.06025545,0.08517924,11.8618,358.5024,1.309556
0.232509,0.04671572,-1.028884,5.982636,353.0003,178.4309,-1.135713E-06,-0.006025632,0.06131715,0.08534063,12.39888,359.1455,0.2554075
0.426084,0.3612717,-1.330385,5.930912,349.9911,181.799,-5.960405E-07,-0.005825693,0.06264435,0.08889292,12.20605,0.03504537,359.7635
0.611203,0.3132873,-1.460886,5.906138,348.6901,181.4134,-1.401253E-06,-0.001223534,0.0622136,0.08998996,11.7107,1.714373,0.3633418
0.711203,0.3254552,-1.442991,5.912366,348.8335,181.5329,-1.019823E-06,0.01075229,0.07322979,0.08797975,7.441564,8.145796,0.06951524
0.811203,0.3841556,-1.402518,5.920811,349.2748,182.1578,1.547823E-06,0.01515678,0.07584549,0.08354983,1.211091,13.99166,359.867
0.911203,0.4088567,-1.387463,5.921965,349.474,182.4181,1.614657E-06,0.01598727,0.08085402,0.0791005,358.6326,15.79045,0.01417723
1.011203,0.3982539,-1.39288,5.921136,349.4161,182.3228,1.886383E-06,0.01740124,0.08583647,0.07200628,355.3389,17.82523,0.340457
1.173715,0.3649104,-1.42093,5.915738,349.1034,181.9698,1.195494E-06,0.01892759,0.08926956,0.06099862,350.2413,23.08983,359.9055
1.328216,0.3498368,-1.449081,5.911926,348.7896,181.8042,-1.849559E-06,0.01944127,0.08839022,0.05681309,349.9847,25.90931,359.3966
1.482164,0.359046,-1.447657,5.914066,348.8023,181.9411,-2.175856E-07,0.01721881,0.0879299,0.05940489,351.7926,22.96921,359.6675
1.642709,0.3623622,-1.442629,5.914325,348.8982,181.9722,1.495407E-07,0.01755832,0.08589464,0.06375231,353.4375,20.86142,0.03916264
1.786846,0.3941715,-1.415173,5.918239,349.1625,182.2792,3.382033E-06,0.01484988,0.0825026,0.06805337,357.2337,18.58158,0.343154
1.955768,0.4082354,-1.404963,5.919322,349.2765,182.4086,-3.801649E-07,0.01325973,0.08115955,0.0734126,359.1036,15.97218,0.3589006
2.121249,0.4180624,-1.400485,5.917196,349.3196,182.5348,-7.059202E-07,0.005054756,0.07412075,0.07916415,4.349783,10.74845,0.4405376
2.28519,0.373796,-1.408858,5.921755,349.213,182.0655,-1.466659E-06,0.005483204,0.06864491,0.08374056,8.866195,5.253414,0.1955691
2.436489,0.3555738,-1.415251,5.919726,349.1369,181.8602,-2.146213E-06,0.0005715527,0.06605396,0.08695538,9.713021,3.395383,359.8056
2.586588,0.340677,-1.43978,5.913489,348.8578,181.6958,-4.62281E-07,-0.004075544,0.05588442,0.09157713,14.6202,359.9712,359.1093
2.749199,0.3090844,-1.492998,5.903042,348.3007,181.3612,-6.811616E-08,-0.005843261,0.05367597,0.09599084,17.8008,358.6262,359.274
2.919408,0.2784869,-1.579843,5.888076,347.3823,181.0179,-8.885734E-07,-0.005791945,0.04950427,0.1031541,20.17009,358.8517,359.3835
3.113672,0.2868203,-1.616784,5.878613,346.9842,181.1195,1.054283E-06,-0.003734453,0.04611584,0.1073451,22.58125,359.4571,359.2232
3.213671,0.2897837,-1.625217,5.87537,346.8949,181.1574,-2.054541E-07,-0.002675202,0.04709929,0.107673,22.36206,359.0147,358.898
3.313671,0.2971326,-1.625577,5.873423,346.8871,181.2205,-8.081449E-07,-0.002617747,0.04598186,0.1074328,22.36007,359.4438,358.8773
3.413671,0.2975386,-1.623006,5.876157,346.9251,181.2413,-6.984583E-07,-0.001831638,0.04725971,0.1091928,22.36128,359.2897,358.6509
3.513671,0.3052982,-1.621881,5.875415,346.9379,181.3113,1.191426E-06,-0.001033369,0.04802484,0.1088236,21.68576,359.8161,358.9645
3.613671,0.3135399,-1.611944,5.879013,347.0499,181.397,4.654044E-07,0.00303835,0.04971988,0.1096371,21.00487,1.733167,358.9717
3.713671,0.3313785,-1.601629,5.880572,347.1579,181.5972,-3.55744E-07,0.004709902,0.04900241,0.1084061,20.34377,3.774451,359.3985
3.813671,0.3542137,-1.583062,5.884994,347.3374,181.8346,-1.066476E-06,0.007836993,0.05046466,0.1088868,20.45556,4.684881,359.1107
3.913671,0.3771129,-1.574963,5.889003,347.4352,182.0643,-1.366755E-07,0.01942681,0.0496046,0.1105563,20.61985,8.131711,358.8614
4.105682,0.4921023,-1.55407,5.888515,347.6718,183.2888,-1.857093E-06,0.02409957,0.05218505,0.1078684,20.53798,17.05961,0.6145663
4.205682,0.5934826,-1.519106,5.8903,347.8953,184.2213,1.910098E-06,0.02563361,0.05125763,0.1103585,20.16291,17.81049,0.3526927
4.39249,1.290672,-1.021325,5.935447,351.9116,189.8803,1.07794E-07,0.02585665,0.05056351,0.1122553,21.10617,19.28199,0.1725199
4.549333,2.384168,-0.3357638,5.75365,357.916,199.5871,-3.871222E-06,0.03069918,0.05229317,0.1105354,19.93466,18.6272,1.639341
4.736454,3.294898,-0.03564779,5.397882,1.390486,208.6272,1.841492E-06,0.03129268,0.05648207,0.1106093,18.55863,14.61718,2.123507
4.893896,0.7280302,-0.7252395,1.826171,337.1623,202.3654,0,0.03073069,0.05904737,0.1163806,16.43127,1.788654,1.178195
5.016635,0.7280302,-0.7252395,1.826171,337.1623,202.3654,0,0.02609506,0.05715112,0.1196683,18.09551,359.325,1.268593
