Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1027228,-0.4043262,0.1625336,2.039805,2.5635,168.918,-2.670715E-08,-0.05000807,0.06976275,0.07772858,7.110225,336.9571,2.575824
0.2146463,-0.444423,0.1678384,2.032671,2.722469,167.7911,0,-0.04918948,0.06849604,0.080329,8.05041,336.6772,2.274292
0.3278589,-0.4805044,0.1716238,2.025835,2.83979,166.7738,0,-0.04766775,0.06789063,0.08346818,8.817183,335.7587,2.329247
0.449087,-0.5139626,0.1751463,2.019035,2.950105,165.8282,2.671583E-08,-0.04549045,0.06771486,0.08734719,9.372245,334.794,1.8972
0.5791449,-0.5139626,0.1751463,2.019035,2.950105,165.8282,2.671583E-08,-0.04376515,0.06618163,0.09025719,9.763374,334.8254,1.613127
0.7427195,-0.8635629,0.003633406,1.925234,358.2368,156.0727,-5.338613E-08,-0.04166861,0.06634623,0.09347051,9.678523,335.8974,2.034315
0.8452981,-0.8601459,-0.01997568,1.92588,357.564,156.1651,0,-0.04173234,0.06171372,0.09689406,12.01352,336.0305,2.845313
0.9613521,-0.8499736,-0.08707263,1.926403,355.6541,156.4234,-5.351473E-08,-0.038612,0.06390396,0.09850018,12.45022,336.2932,2.604795
1.148223,-0.8466167,-0.1239942,1.924739,354.6031,156.4724,1.071969E-07,-0.03468542,0.06286613,0.09833838,12.03668,337.5408,2.349372
1.281212,-0.8612329,-0.1094814,1.919539,355.0199,155.9346,0,-0.01404397,0.06596358,0.1010161,9.865587,344.9097,1.224774
1.398159,-0.8579751,-0.09416959,1.921682,355.454,155.9448,0,0.01866725,0.07479218,0.09731479,6.768285,7.111381,0.53323
1.512657,-0.8579751,-0.09416959,1.921682,355.454,155.9448,0,0.0227129,0.07843243,0.08958918,2.681276,22.05989,0.9734804
1.615081,-0.8579751,-0.09416959,1.921682,355.454,155.9448,0,0.02807344,0.0787994,0.0892319,359.3187,29.99754,1.599319
1.715529,-0.7892659,-0.07443073,1.95086,356.0026,157.9995,-5.349099E-08,0.03249439,0.07965434,0.09202342,359.5877,28.8016,1.164625
1.832667,-0.6530994,-0.03551008,1.999994,357.0835,161.9723,0,0.03941612,0.08054235,0.0924155,0.08614855,30.9257,0.7926413
1.950981,-0.6530994,-0.03551008,1.999994,357.0835,161.9723,0,0.04308678,0.08024158,0.09236281,0.008245706,34.96313,0.4807398
2.051315,-0.5831909,-0.02187329,2.021294,357.4572,163.9818,-5.341344E-08,0.04518692,0.0806713,0.092241,0.1255579,35.47126,0.6850402
2.160202,-0.3783943,0.01794535,2.068896,358.5503,169.7608,-1.334448E-08,0.04903943,0.08112088,0.09259702,0.09417915,36.75916,0.6677564
2.260231,-0.1854388,0.05492336,2.094557,359.5674,175.1062,3.335148E-09,0.05172629,0.08036254,0.09251708,0.2868503,37.37835,0.4501353
2.395122,1.389757,0.3162704,1.572497,6.754075,222.4787,-4.2987E-07,0.05381584,0.08009622,0.09314252,0.3083807,37.41447,0.4308544
2.523075,1.385597,0.3184155,1.576328,6.815712,222.2966,2.149626E-07,0.05534365,0.08002583,0.09536302,0.2649974,36.94604,0.6232692
2.623075,1.383149,0.3196235,1.578712,6.851019,222.1865,2.149784E-07,0.05558426,0.08003424,0.0961971,0.3898422,36.814,0.6822234
2.741095,1.383149,0.3196235,1.578712,6.851019,222.1865,2.149784E-07,0.05731484,0.0791949,0.1013782,0.9776427,36.19776,0.8292004
2.842553,1.36293,0.3212377,1.597069,6.898821,221.3779,0,0.05751845,0.07929827,0.1030149,1.230987,36.14119,0.8014817
2.991759,1.364812,0.3198939,1.596816,6.863599,221.4286,2.149841E-07,0.05782776,0.07932931,0.1044825,0.9783525,35.8296,1.066006
3.146012,1.367353,0.3162983,1.596956,6.764924,221.4894,0,0.05914556,0.07862862,0.1049507,1.137825,36.25667,0.8450853
3.276788,1.368742,0.311902,1.598165,6.64299,221.4967,-2.148861E-07,0.05853018,0.07926714,0.1042985,0.8386639,36.44115,0.7472883
