Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1001751,1.803203,-0.8907398,1.966067,333.3275,248.3474,0,0.1442978,0.006311886,1.308066,26.59103,68.37708,7.233695
0.2021803,1.865844,-0.9142708,1.929027,332.9987,250.9378,0,0.1832565,-0.006761968,1.348943,26.92536,71.03771,9.188171
0.3354261,1.969239,-0.9836826,1.881914,332.6114,255.4462,-1.923115E-06,0.2504072,-0.06363703,1.435672,27.38857,75.4462,13.98417
0.4658447,2.096545,-1.070616,1.723073,332.7193,264.0403,0,0.3286085,-0.1539165,1.538512,27.28068,84.04027,19.13165
0.570706,2.180719,-1.093901,1.600157,334.6975,270.1017,-9.443731E-07,0.3725937,-0.2391059,1.603365,25.3025,90.10165,26.33443
0.7042795,2.220295,-1.164824,1.507429,335.4345,275.1099,9.387421E-07,0.4085504,-0.3333585,1.66944,24.56547,95.10994,33.66371
0.8320374,2.263803,-1.11007,1.453826,338.3108,277.4545,0,0.429732,-0.3995377,1.713612,19.7814,99.07311,40.65165
0.9322404,2.275753,-1.100946,1.404345,339.4433,279.61,-9.118344E-07,0.4339929,-0.4154645,1.73304,20.21112,101.2294,43.53562
1.034928,2.272158,-1.100634,1.39088,339.5166,280.619,0,0.4300888,-0.3940547,1.749574,20.56197,100.7489,42.74603
1.166896,2.278445,-1.027593,1.450867,340.3058,279.0266,-1.813637E-06,0.4075385,-0.3143339,1.745664,19.11536,97.76412,36.95867
1.299871,2.261769,-0.9252679,1.502932,340.7233,276.8217,-9.044832E-07,0.3643004,-0.2071401,1.709362,19.45959,95.52939,28.4978
1.434402,2.214881,-0.8473161,1.570317,340.1245,273.173,0,0.3047889,-0.1132413,1.635859,20.26793,90.12579,20.24102
1.565714,2.132141,-0.8273607,1.672737,338.2214,267.2912,-9.19396E-07,0.2417593,-0.04423625,1.525611,23.3514,83.85659,12.88058
1.665937,2.047517,-0.844719,1.77136,336.4357,261.5708,-9.31445E-07,0.2039862,-0.01540941,1.437786,24.9505,76.47135,9.270308
1.767943,1.9591,-0.8442672,1.896501,335.6024,254.8378,0,0.1775877,-0.002189118,1.357604,24.28166,69.68085,6.855116
1.870002,1.868805,-0.8565715,1.982842,334.7102,249.457,9.442739E-07,0.1568464,0.0083152,1.29672,25.18078,65.65509,4.839743
2.00012,1.788281,-0.848136,2.030902,334.4943,245.3948,1.89193E-06,0.1307545,0.01885068,1.24631,25.74434,63.9561,1.817535
2.104663,1.765705,-0.8254267,2.025843,335.0407,244.6063,-3.766893E-06,0.1132979,0.0220964,1.228375,23.98708,64.37629,2.618616
2.238206,1.750834,-0.8059512,2.007213,335.4744,244.6519,0,0.09674142,0.03029425,1.221683,24.63452,64.69672,2.903395
2.367397,1.744443,-0.7809016,2.016669,336.2295,244.2988,-9.329152E-07,0.09127693,0.02593793,1.221482,24.20816,63.98745,4.010602
2.499668,1.737953,-0.7906902,2.018414,336.0168,244.2427,0,0.09181523,0.01936105,1.226509,23.97769,64.29903,3.723337
2.601158,1.73055,-0.8239313,2.004996,335.0595,244.6915,0,0.0897492,0.01789656,1.234828,25.78576,65.21666,3.033114
2.732502,1.726755,-0.8465825,1.99113,334.3533,245.4213,-9.470796E-07,0.08436325,0.01906937,1.248338,25.85028,65.61689,3.484753
2.865235,1.726433,-0.8427723,1.998263,334.4442,245.7839,1.892721E-06,0.07954407,0.02029244,1.261875,25.55581,65.96371,3.777909
2.972576,1.730948,-0.8418623,1.992005,334.4732,246.3749,-9.461314E-07,0.07629059,0.01967837,1.272201,25.67203,66.58782,3.972116
3.100754,1.737592,-0.845502,1.978973,334.3616,247.3183,9.470142E-07,0.07331392,0.01987876,1.287003,25.66054,67.54781,4.730181
3.232922,1.733935,-0.8619668,1.979931,333.9069,247.6611,9.50665E-07,0.07234357,0.01704071,1.29964,26.32873,67.72577,5.156791
3.333168,1.738647,-0.8653468,1.97335,333.7946,248.147,-9.515804E-07,0.07329762,0.01748339,1.307191,26.12531,68.29594,5.63236
3.437217,1.741821,-0.8733112,1.960036,333.5582,248.7597,1.907049E-06,0.07260518,0.01728582,1.312406,26.41407,68.81449,6.020587
3.566408,1.748304,-0.8672866,1.956131,333.7529,249.1202,9.519217E-07,0.07230152,0.01719195,1.317364,26.16798,69.1433,6.632772
3.666434,1.749604,-0.8695688,1.954336,333.678,249.2626,-9.525364E-07,0.07355303,0.0172212,1.320004,26.23672,69.25032,6.574675
3.798987,1.717612,-0.9598705,1.918268,330.9823,250.0468,-1.952666E-06,0.07398447,0.009561422,1.321571,29.40494,70.17499,6.607822
3.900202,1.698847,-1.016688,1.889345,329.1467,250.7403,1.989029E-06,0.07855199,0.008881704,1.3232,30.76476,70.75842,6.823246
4.001846,1.708598,-1.0035,1.90447,329.6576,250.3045,-9.892835E-07,0.08383087,0.006508414,1.32263,30.40974,70.27691,6.557609
4.133986,1.702316,-1.019571,1.892991,329.0792,250.4771,9.952153E-07,0.08533859,0.008538574,1.319478,30.89901,70.51127,6.443068
4.26554,1.708656,-1.018419,1.861922,329.2173,251.363,-9.93783E-07,0.07997306,0.005190262,1.312176,30.81467,71.41816,6.224943
4.365569,1.687956,-1.02315,1.859962,328.8583,251.1405,0,0.067315,0.01213439,1.306092,30.96232,71.10671,4.587949
