Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.131853,-4.433374,-0.03862825,4.194953,343.1201,252.008,1.14E-06,-6.253619,0.5421034,3.6038,16.87986,72.00795,1.392246
0.2385457,-4.42398,-0.06545536,4.153346,342.3485,253.2949,-9.53E-08,-6.249385,0.5409967,3.605522,17.65147,73.29492,1.737913
0.3648229,-4.423127,-0.08310831,4.150837,341.8251,253.4279,-4.09E-07,-6.244412,0.5407287,3.608853,18.17489,73.42788,2.124514
0.4714283,-4.438946,-0.1056958,4.191755,341.1985,252.1321,-2.10E-08,-6.240909,0.5388848,3.610853,18.80149,72.13213,2.350174
0.5784947,-4.44596,-0.121391,4.204919,340.7339,251.6425,1.98E-06,-6.237739,0.5385225,3.610248,19.26169,71.63557,2.003479
0.6983835,-4.441193,-0.1230218,4.194289,340.6648,251.8586,3.32E-07,-6.234369,0.5392393,3.605915,19.32427,71.96465,1.463778
0.8325445,-4.423498,-0.1040602,4.155513,341.1631,253.0009,2.70E-07,-6.233481,0.5424092,3.601186,18.55397,73.17323,0.7193923
0.9327256,-4.413813,-0.07755755,4.152782,341.9323,253.1004,-1.01E-06,-6.232698,0.5429306,3.599249,17.74269,73.11485,359.8146
1.064626,-4.408624,-0.07107415,4.144072,342.1397,253.3382,6.38E-07,-6.232236,0.5420805,3.597783,17.95372,73.4169,359.8972
1.165313,-4.413474,-0.0818623,4.146222,341.8126,253.2204,9.60E-07,-6.232818,0.5427682,3.597363,18.35805,73.08492,0.2355853
1.275904,-4.414907,-0.0767541,4.153837,341.9415,252.9849,-2.09E-06,-6.233391,0.5437852,3.597338,17.85953,72.86668,0.235182
1.407212,-4.408846,-0.05662764,4.153821,342.5378,253.0391,-5.30E-07,-6.233916,0.5434498,3.597203,17.32678,73.21464,0.4813478
1.538083,-4.403636,-0.05342352,4.139724,342.6339,253.5072,4.74E-07,-6.233991,0.5435554,3.598197,17.337,73.63964,1.02368
1.665391,-4.404651,-0.05374205,4.141149,342.6022,253.489,8.25E-07,-6.234799,0.5450003,3.599394,17.31374,73.44031,1.06964
1.809656,-4.40337,-0.04157169,4.15068,342.9607,253.2641,-8.51E-07,-6.234558,0.5437514,3.600579,17.0327,73.18064,1.541603
1.93163,-4.40466,-0.05405801,4.142759,342.6149,253.4876,4.96E-08,-6.234404,0.5430237,3.600222,17.65176,73.80493,1.770245
2.064987,-4.40162,-0.06213839,4.125906,342.3939,253.9856,1.08E-07,-6.233109,0.5417767,3.599785,17.85761,74.44059,1.504981
2.166157,-4.402612,-0.07749268,4.116097,341.9562,254.2543,-3.36E-07,-6.231184,0.5411566,3.60036,18.69346,74.54068,1.310437
2.299446,-4.403793,-0.09644551,4.111392,341.4168,254.391,-3.13E-07,-6.225675,0.5391874,3.60302,19.04555,74.51293,0.7839919
2.400175,-4.405725,-0.122463,4.103077,340.6786,254.6355,-9.57E-08,-6.220108,0.5374845,3.605142,20.25717,75.06073,1.060025
2.531621,-4.406216,-0.1689418,4.07627,339.3442,255.456,-2.42E-06,-6.211418,0.5344053,3.608794,21.63545,75.9575,1.29895
2.632063,-4.409549,-0.2283456,4.047733,337.6722,256.2417,9.72E-07,-6.198315,0.5270765,3.60806,23.60581,76.91962,1.637026
2.736104,-4.430326,-0.3599129,3.965518,333.7944,258.4441,4.83E-07,-6.182134,0.5210505,3.605103,27.62133,79.26271,2.363688
2.864648,-4.433414,-0.4240909,3.95056,331.6992,258.6235,-2.73E-06,-6.157456,0.5243642,3.603203,28.23265,78.40923,1.003655
2.965468,-4.458118,-0.4402697,4.079177,331.1417,254.3,-1.32E-06,-6.1438,0.5250842,3.605314,28.8986,74.06639,359.216
3.109052,-4.506728,-0.4491225,4.272587,330.9709,247.8222,-1.19E-06,-6.126097,0.5213863,3.612467,29.02914,67.8222,357.0649
3.23175,-4.575936,-0.4578361,4.442981,330.6966,241.8792,2.27E-06,-6.114138,0.5210326,3.620941,29.30342,61.87924,355.5998
3.343061,-4.591719,-0.4492636,4.502585,331.0649,239.9621,-2.38E-06,-6.106977,0.5183719,3.626415,28.93505,59.96214,354.025
3.465202,-4.63185,-0.5286323,4.494067,328.474,239.6658,-8.24E-07,-6.103258,0.5171384,3.633066,31.526,59.66579,355.4072
3.565663,-4.638422,-0.5248471,4.511007,328.6491,239.1814,7.19E-07,-6.107633,0.5143981,3.638568,31.42574,58.36681,356.054
3.704007,-4.681962,-0.5357115,4.556457,328.2867,237.3685,5.42E-07,-6.121748,0.5170838,3.640711,31.6466,56.63372,356.291
3.831664,-4.714082,-0.5114797,4.602877,329.047,235.9621,2.45E-06,-6.149446,0.5184039,3.645585,30.15319,54.97353,357.36
3.933346,-4.765105,-0.4997497,4.653609,329.3855,234.1027,-6.19E-07,-6.178722,0.521446,3.64567,30.36237,52.48364,358.3427
4.065767,-4.846359,-0.4726865,4.738313,330.2451,231.0255,9.91E-07,-6.218485,0.5200326,3.647286,29.65471,49.03192,359.6229
4.169116,-4.932762,-0.4716692,4.80858,330.3009,228.0381,6.75E-08,-6.246434,0.5181031,3.647016,29.73496,45.58129,0.6517089
