Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.102693,-1.235544,-0.08259365,6.344912,344.5706,260.6898,8.901483E-07,-3.15403,0.4500312,6.042868,17.92342,90.56596,2.337957
0.2415677,-1.24595,-0.1681689,6.221235,342.0232,264.4468,-1.100597E-06,-3.153544,0.4507975,6.039952,18.06178,92.97744,2.143286
0.3698242,-1.457735,-0.53655,5.611514,330.5513,284.3298,1.089383E-06,-3.15311,0.4510698,6.038853,17.7544,92.23249,2.221492
0.5016221,-1.457347,-0.5363783,5.611781,330.5549,284.2932,-2.743622E-06,-3.15227,0.4522086,6.036964,17.06406,91.49575,2.154927
0.6024613,-1.456817,-0.5354727,5.611447,330.5803,284.2911,-7.367253E-07,-3.152171,0.4526929,6.03628,16.67394,91.09703,2.063719
0.7247909,-1.456817,-0.5354727,5.611447,330.5803,284.2911,-7.367253E-07,-3.15136,0.4525833,6.036076,16.41835,90.3238,1.997524
0.8356637,-1.456817,-0.5354727,5.611447,330.5803,284.2911,-7.367253E-07,-3.149298,0.4526484,6.034564,16.86911,90.96466,2.350479
0.9702621,-1.449148,-0.5256211,5.617681,330.8972,284.0212,1.166113E-06,-3.148109,0.4527315,6.035519,16.82965,90.57,2.240462
1.100315,-1.445334,-0.521212,5.621119,331.0362,283.8871,4.692957E-07,-3.14624,0.4526947,6.036229,16.73428,90.18646,2.519254
1.200717,-1.443025,-0.5199553,5.62528,331.0732,283.7391,7.748324E-07,-3.144242,0.4525229,6.03629,16.92195,90.11892,2.440946
1.308859,-1.441605,-0.5204207,5.629108,331.0556,283.6079,3.129049E-07,-3.142324,0.4524107,6.036558,16.97233,90.10897,2.331677
1.437051,-1.440085,-0.5218509,5.63336,331.0067,283.4542,-4.317063E-06,-3.139145,0.4522192,6.036426,17.02607,90.14925,2.286331
1.569867,-1.438849,-0.5239939,5.636527,330.9356,283.3248,-1.472176E-06,-3.135816,0.4522154,6.03578,17.21475,90.30663,2.301763
1.702424,-1.438252,-0.5265725,5.637098,330.8516,283.2922,5.950765E-07,-3.133322,0.4517123,6.035179,17.4028,90.4213,2.286803
1.802844,-1.437775,-0.5287393,5.637832,330.782,283.2631,-1.18481E-06,-3.131923,0.4513684,6.034326,17.38232,90.49347,2.367529
1.933628,-1.437862,-0.5325083,5.638246,330.661,283.265,2.251819E-06,-3.130461,0.4509411,6.033157,17.60709,90.71091,2.234681
2.042374,-1.436806,-0.5337254,5.639431,330.6243,283.2273,-1.172109E-06,-3.129924,0.4506358,6.032315,17.80267,90.70599,2.167279
2.153726,-1.433298,-0.5288107,5.636431,330.7894,283.3063,1.107431E-06,-3.130098,0.4506392,6.031395,17.89597,90.72848,2.0685
2.275724,-1.429707,-0.5231892,5.632735,330.9771,283.4037,1.855965E-07,-3.131059,0.4507408,6.03039,17.7743,90.65304,1.804879
2.400076,-1.392364,-0.486319,5.704971,332.1759,280.7741,2.056118E-06,-3.132775,0.4508955,6.030292,17.83808,90.51338,1.645427
2.502633,-1.371556,-0.4631695,5.749538,332.9218,279.1975,1.288646E-06,-3.134316,0.4513599,6.03049,17.66684,90.10373,1.595862
2.646517,-1.228323,-0.08733871,6.355762,344.4644,259.9345,6.087694E-07,-3.136241,0.4517136,6.031626,17.32556,89.61237,1.503916
2.769617,-1.228267,-0.08371256,6.360191,344.57,259.8219,7.475991E-07,-3.137798,0.4518955,6.032751,17.29372,89.50166,1.626744
2.901764,-1.228326,-0.07995521,6.364718,344.6781,259.7237,-3.276423E-07,-3.139307,0.4522667,6.034103,17.20611,89.41431,1.752504
3.043072,-1.226795,-0.07709285,6.358746,344.7586,259.9635,3.078778E-07,-3.140548,0.4524357,6.035221,17.05886,89.3718,1.895348
3.182693,-1.220683,-0.07848536,6.317466,344.7137,261.2556,1.226217E-07,-3.141579,0.4526903,6.03598,16.95513,89.44621,2.087626
3.284995,-1.215781,-0.08022253,6.276623,344.6585,262.5182,1.474509E-07,-3.142265,0.4527753,6.035879,16.8655,89.65732,2.014169
3.400656,-1.211194,-0.08186258,6.228537,344.605,264.0053,2.604754E-07,-3.142898,0.4527196,6.035855,16.86334,89.67948,1.993004
3.50087,-1.208897,-0.08277825,6.196906,344.5742,264.9877,-1.057261E-07,-3.143642,0.4536955,6.035342,16.57956,89.77692,1.976961
3.60118,-1.207047,-0.0822018,6.168924,344.5854,265.8629,-1.510732E-07,-3.145415,0.4554205,6.035054,15.31368,89.69579,1.740016
3.703196,-1.205685,-0.0807232,6.144164,344.6196,266.6436,-6.276849E-07,-3.145279,0.4545063,6.034564,15.09743,89.44011,1.318341
3.841697,-1.205322,-0.08122094,6.116029,344.5934,267.5211,-8.345366E-07,-3.146143,0.4547375,6.034448,15.5891,89.71455,1.491251
3.975182,-1.205494,-0.08179081,6.091761,344.5671,268.2623,5.921969E-07,-3.146544,0.4558361,6.033817,14.82275,89.58102,1.442845
4.076591,-1.205581,-0.08126186,6.075325,344.5747,268.76,-3.815493E-07,-3.146036,0.4554028,6.03336,14.83422,89.4966,1.339679
