Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,,
p4AR,142.8879,714.2319,,,,,
,,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size, Peripheral
0,155,18.755,3.182214,8,FALSE,L,85.38882
1,124,15.004,5.260536,13,FALSE,L,114.2413
2,357,43.197,14.84619,22,FALSE,L,54.99073
3,63,7.623,4.768085,9,FALSE,S,151.8049
4,167,20.207,3.917937,3,FALSE,M,40.18832
5,374,45.254,7.084363,22,TRUE,L,178.4725
6,103,12.463,1.918125,6,FALSE,M,53.30093
7,463,56.023,15.63688,31,FALSE,M,50.6446
8,200,24.2,17.94191,17,FALSE,M,38.99662
9,207,25.047,11.38644,13,FALSE,L,72.64347
10,136,16.456,4.958071,9,FALSE,M,105.265
11,213,25.773,8.809761,12,TRUE,L,163.697
12,66,7.986,0,0,FALSE,S,152.2109
13,12,1.452,0.1004877,0,FALSE,S,154.5946
14,458,55.418,26.86237,24,TRUE,L,177.7366
15,0,0,0,0,FALSE,S,86.98425
16,35,4.235,2.000283,2,FALSE,S,85.26695
17,36,4.356,2.074907,4,TRUE,S,54.79258
18,51,6.171,4.149542,3,FALSE,S,77.94432
19,70,8.47,3.226101,6,FALSE,S,107.1556
20,33,3.993,1.544149,1,TRUE,S,166.0367
21,42,5.082,0.4528621,2,FALSE,S,167.3515
22,61,7.381,3.127419,5,FALSE,S,49.17971
23,60,7.26,3.92412,6,TRUE,S,87.39624
24,77,9.317,5.573263,5,TRUE,S,67.73549
25,31,3.751,1.994848,2,TRUE,S,129.7381
26,9,1.089,0,0,FALSE,S,83.84946
27,21,2.541,1.181347,1,FALSE,S,25.80071
28,17,2.057,1.164042,1,FALSE,S,84.42894
29,64,7.744,5.120042,3,FALSE,S,104.0219
