Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p2PB,680.624,853.8778,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,56,6.776,2.315783,5,FALSE,L
1,2,0.242,0,0,FALSE,L
2,0,0,0,0,FALSE,M
3,0,0,0,0,TRUE,S
4,0,0,0,0,FALSE,M
5,267,32.307,13.19494,12,FALSE,L
6,3,0.363,0,0,FALSE,M
7,109,13.189,8.345977,4,FALSE,M
8,2,0.242,0,0,TRUE,M
9,31,3.751,1.294371,2,FALSE,M
10,54,6.534,4.292232,2,TRUE,M
11,39,4.719,3.083611,2,TRUE,L
12,0,0,0,0,FALSE,S
13,0,0,0,0,TRUE,S
14,119,14.399,7.247014,5,TRUE,L
15,4,0.484,0,0,FALSE,S
16,6,0.726,0.1001958,1,FALSE,S
17,3,0.363,0,0,FALSE,S
18,0,0,0,0,FALSE,S
19,11,1.331,0.2193738,1,FALSE,S
20,0,0,0,0,TRUE,S
21,17,2.057,1.535024,1,FALSE,S
22,0,0,0,0,FALSE,S
23,27,3.267,1.538334,1,TRUE,S
24,14,1.694,0.8199404,1,FALSE,S
25,0,0,0,0,TRUE,S
26,3,0.363,0,0,TRUE,S
27,0,0,0,0,TRUE,S
28,7,0.847,0.2170379,1,TRUE,S
29,24,2.904,2.267391,1,FALSE,S
