Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p8PB,362.1546,847.1777,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,219,26.499,9.205033,15,FALSE,L
1,8,0.968,0,0,FALSE,L
2,286,34.606,15.24338,18,FALSE,M
3,39,4.719,3.894638,2,TRUE,S
4,4,0.484,0,0,FALSE,M
5,261,31.581,6.961555,13,FALSE,L
6,129,15.609,3.529433,7,FALSE,M
7,204,24.684,11.78926,13,FALSE,M
8,11,1.331,0,0,TRUE,M
9,14,1.694,0,0,TRUE,M
10,220,26.62,6.896649,13,TRUE,M
11,13,1.573,0,0,TRUE,L
12,4,0.484,0.1186547,0,FALSE,S
13,83,10.043,3.493323,4,TRUE,S
14,8,0.968,0,0,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,TRUE,S
17,0,0,0,0,FALSE,S
18,5,0.605,0,0,TRUE,S
19,0,0,0,0,FALSE,S
20,0,0,0,0,FALSE,S
21,0,0,0,0,FALSE,S
22,0,0,0,0,TRUE,S
23,0,0,0,0,TRUE,S
24,0,0,0,0,FALSE,S
25,0,0,0,0,FALSE,S
26,22,2.662,0.6713364,2,TRUE,S
27,0,0,0,0,TRUE,S
28,0,0,0,0,TRUE,S
29,0,0,0,0,FALSE,S
