Participant,Total Gaze floor time, Overall Eye Tracking Time,Total dwell AR,Total Dwell Time at Tablet/Paper w/ 0.5s Threshold,Dwell Counts at Tablet/Paper (>0.5 Threshold),
p3AR,116.106,817.2699,222.3236816,83.5198411,40,
,,,,,,
Element ID,Total Collison counts,Total Gaze duration,Dwell duration (0.5), Dwell Count,ERROR,Size
0,345,41.745,20.09453,22,FALSE,L
1,301,36.421,2.678369,4,FALSE,L
2,530,64.13,23.10568,26,FALSE,M
3,233,28.193,10.78636,4,FALSE,S
4,17,2.057,1.48185,4,TRUE,M
5,1369,165.649,16.61127,25,FALSE,L
6,69,8.349,4.462015,3,FALSE,M
7,793,95.953,24.81216,31,FALSE,M
8,364,44.044,12.47317,19,FALSE,M
9,113,13.673,8.055929,5,FALSE,M
10,285,34.485,15.58263,16,TRUE,M
11,247,29.887,8.062037,10,FALSE,L
12,177,21.417,17.11757,12,FALSE,S
13,77,9.317,4.794912,5,FALSE,S
14,146,17.666,1.734029,2,TRUE,L
15,37,4.477,0,0,FALSE,S
16,52,6.292,3.731203,5,FALSE,S
17,66,7.986,5.269624,4,TRUE,S
18,80,9.68,5.755686,5,FALSE,S
19,67,8.107,3.705852,6,FALSE,S
20,47,5.687,4.154747,2,TRUE,S
21,40,4.84,2.570809,3,FALSE,S
22,114,13.794,9.535932,8,FALSE,S
23,94,11.374,9.304363,3,TRUE,S
24,28,3.388,0.08467229,1,FALSE,S
25,35,4.235,3.585919,1,TRUE,S
26,20,2.42,0.824011,1,FALSE,S
27,12,1.452,0.9219953,1,FALSE,S
28,36,4.356,0,0,FALSE,S
29,19,2.299,1.026357,2,FALSE,S
