Participant, Time Looking At Floor, Overall Eye Tracking Time,Total Dwell Time at Tablet/Paper w/ 0.5s Threshold,Dwell Counts at Tablet/Paper (>0.5 Threshold),,
p4AR,171.6825,714.2319,105.3039388,96,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,192,23.232,3.085846,8,FALSE,L
1,152,18.392,1.132294,3,FALSE,L
2,251,30.371,8.053574,12,FALSE,M
3,49,5.929,1.273591,2,FALSE,S
4,24,2.904,4.091804,5,FALSE,M
5,471,56.991,4.95695,12,TRUE,L
6,215,26.015,2.370572,3,FALSE,M
7,548,66.308,10.36977,21,FALSE,M
8,224,27.104,8.514955,18,FALSE,M
9,201,24.321,11.34961,18,FALSE,M
10,104,12.584,2.254626,7,FALSE,M
11,270,32.67,11.02404,20,TRUE,L
12,26,3.146,1.621919,4,FALSE,S
13,9,1.089,0,0,FALSE,S
14,456,55.176,15.99292,23,TRUE,L
15,0,0,0,0,FALSE,S
16,7,0.847,0,0,FALSE,S
17,25,3.025,0.8904448,3,TRUE,S
18,37,4.477,2.592323,3,FALSE,S
19,22,2.662,0.8240459,1,FALSE,S
20,14,1.694,0.4563342,1,TRUE,S
21,17,2.057,1.644241,2,FALSE,S
22,24,2.904,0.4731217,1,FALSE,S
23,44,5.324,3.700725,2,TRUE,S
24,50,6.05,0,0,TRUE,S
25,24,2.904,1.161688,2,TRUE,S
26,12,1.452,0.5720342,1,FALSE,S
27,12,1.452,0.2197559,1,FALSE,S
28,16,1.936,0,0,FALSE,S
29,45,5.445,4.306983,2,FALSE,S
