Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6AR,176.1349,572.4196,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,344,41.624,8.280976,16,FALSE,L
1,91,11.011,1.161634,1,TRUE,L
2,144,17.424,3.433672,10,FALSE,M
3,88,10.648,6.71192,5,FALSE,S
4,69,8.349,0.2004096,1,FALSE,M
5,754,91.234,8.70777,23,FALSE,L
6,239,28.919,4.862405,9,FALSE,M
7,133,16.093,0.9793255,4,FALSE,M
8,75,9.075,2.139842,5,FALSE,M
9,69,8.349,3.608094,5,TRUE,M
10,127,15.367,5.040664,9,FALSE,M
11,101,12.221,2.620507,6,FALSE,L
12,6,0.726,0.4560272,1,TRUE,S
13,26,3.146,2.936427,3,FALSE,S
14,56,6.776,0.9410267,1,FALSE,L
15,91,11.011,0,0,FALSE,S
16,11,1.331,0,0,FALSE,S
17,19,2.299,1.669812,1,FALSE,S
18,87,10.527,6.645051,8,FALSE,S
19,13,1.573,0.4533397,1,FALSE,S
20,20,2.42,1.410935,2,FALSE,S
21,47,5.687,4.171615,2,FALSE,S
22,43,5.203,3.969711,5,FALSE,S
23,13,1.573,1.059021,1,FALSE,S
24,27,3.267,0.1187023,0,FALSE,S
25,0,0,0,0,FALSE,S
26,20,2.42,0.5563766,2,FALSE,S
27,59,7.139,5.080864,4,FALSE,S
28,46,5.566,0.1189443,0,FALSE,S
29,13,1.573,0.5374305,2,FALSE,S
