Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p10AR,152.1611,815.4349,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,111,13.431,1.242799,5,FALSE,L
1,47,5.687,0.1000178,1,TRUE,L
2,174,21.054,3.839358,8,FALSE,L
3,87,10.527,0.5854876,1,FALSE,S
4,14,1.694,0,0,FALSE,M
5,350,42.35,8.170579,16,FALSE,L
6,39,4.719,0.1020704,1,FALSE,M
7,211,25.531,4.59813,10,FALSE,M
8,150,18.15,2.558528,6,FALSE,M
9,288,34.848,6.747728,20,FALSE,L
10,569,68.849,26.63959,45,TRUE,M
11,221,26.741,9.73023,19,FALSE,L
12,107,12.947,8.781909,12,FALSE,S
13,25,3.025,0.9063147,3,TRUE,S
14,197,23.837,5.072657,12,FALSE,L
15,5,0.605,0,0,FALSE,S
16,12,1.452,0.1045719,1,FALSE,S
17,57,6.897,2.914248,6,FALSE,S
18,71,8.591,7.855082,1,FALSE,S
19,85,10.285,3.326054,9,FALSE,S
20,54,6.534,2.187757,5,TRUE,S
21,20,2.42,1.676124,1,FALSE,S
22,68,8.228,4.829797,5,FALSE,S
23,88,10.648,4.876007,6,FALSE,S
24,67,8.107,0,0,FALSE,S
25,41,4.961,1.67814,2,FALSE,S
26,91,11.011,5.65762,3,TRUE,S
27,65,7.865,1.737546,4,FALSE,S
28,10,1.21,0.1014012,1,FALSE,S
29,48,5.808,3.459106,2,FALSE,S
