Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11AR,229.6426,844.3793,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,313,37.873,32.70533,37,FALSE,L
1,97,11.737,0,0,TRUE,L
2,39,4.719,1.237347,3,FALSE,M
3,72,8.712,1.807388,5,FALSE,S
4,34,4.114,0.1000809,1,FALSE,M
5,359,43.439,16.6552,25,FALSE,L
6,53,6.413,0.2186186,1,FALSE,M
7,333,40.293,4.37636,7,FALSE,M
8,144,17.424,5.008628,6,FALSE,M
9,13,1.573,5.08592,14,FALSE,M
10,83,10.043,6.022842,21,FALSE,M
11,57,6.897,1.543876,6,FALSE,L
12,92,11.132,7.824527,15,FALSE,S
13,18,2.178,2.157013,5,FALSE,S
14,104,12.584,7.59097,10,FALSE,L
15,7,0.847,0.7998772,2,FALSE,S
16,9,1.089,1.088147,4,FALSE,S
17,6,0.726,0.4167245,2,FALSE,S
18,12,1.452,1.877714,2,TRUE,S
19,10,1.21,0.317134,2,FALSE,S
20,13,1.573,1.863281,3,FALSE,S
21,2,0.242,4.180831,10,FALSE,S
22,0,0,6.090358,7,FALSE,S
23,4,0.484,0.2145991,1,FALSE,S
24,5,0.605,0.1180026,0,FALSE,S
25,4,0.484,1.037219,3,FALSE,S
26,25,3.025,1.639023,2,FALSE,S
27,6,0.726,1.749972,2,FALSE,S
28,3,0.363,0,0,FALSE,S
29,0,0,1.284085,2,FALSE,S
