Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p2PB,680.4546,853.8778,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,54,6.534,1.747467,2,FALSE,L
1,0,0,0,0,FALSE,L
2,0,0,0,0,FALSE,M
3,0,0,0,0,TRUE,S
4,0,0,0,0,FALSE,M
5,269,32.549,11.28989,12,FALSE,L
6,2,0.242,0,0,FALSE,M
7,109,13.189,7.368166,5,FALSE,M
8,2,0.242,0,0,TRUE,M
9,31,3.751,1.186045,1,FALSE,M
10,0,0,4.305725,2,TRUE,M
11,39,4.719,4.633733,3,TRUE,L
12,0,0,0,0,FALSE,S
13,0,0,0,0,TRUE,S
14,104,12.584,6.635521,6,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0.1000537,1,FALSE,S
17,3,0.363,0,0,FALSE,S
18,0,0,0,0,FALSE,S
19,3,0.363,0.2346417,1,FALSE,S
20,0,0,0,0,TRUE,S
21,18,2.178,0,0,FALSE,S
22,0,0,0,0,FALSE,S
23,25,3.025,1.554165,1,TRUE,S
24,14,1.694,0.8205734,1,FALSE,S
25,0,0,0,0,TRUE,S
26,8,0.968,0,0,TRUE,S
27,0,0,0,0,TRUE,S
28,0,0,0,0,TRUE,S
29,0,0,0.0838737,1,FALSE,S
