Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5PB,506.5546,1006.404,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,317,38.357,11.15145,17,FALSE,L
1,94,11.374,4.352828,7,FALSE,L
2,55,6.655,3.540288,4,TRUE,M
3,8,0.968,0.1166676,0,TRUE,S
4,14,1.694,0.4684836,1,TRUE,M
5,623,75.383,19.58308,42,FALSE,L
6,136,16.456,3.316892,5,TRUE,M
7,59,7.139,0.9015264,4,FALSE,M
8,103,12.463,4.398421,13,TRUE,M
9,105,12.705,6.876384,7,FALSE,M
10,77,9.317,7.666372,10,TRUE,M
11,133,16.093,4.249612,6,FALSE,L
12,17,2.057,0,0,FALSE,S
13,3,0.363,0,0,TRUE,S
14,176,21.296,9.617719,9,TRUE,L
15,5,0.605,0,0,FALSE,S
16,0,0,1.304219,1,FALSE,S
17,44,5.324,4.148034,5,FALSE,S
18,0,0,0,0,TRUE,S
19,5,0.605,0,0,FALSE,S
20,13,1.573,0.5742313,2,FALSE,S
21,0,0,0,0,FALSE,S
22,5,0.605,0,0,FALSE,S
23,0,0,0,0,TRUE,S
24,23,2.783,1.526711,2,TRUE,S
25,27,3.267,1.398903,2,TRUE,S
26,22,2.662,1.291034,2,FALSE,S
27,10,1.21,0,0,TRUE,S
28,3,0.363,0,0,TRUE,S
29,0,0,0.8368621,1,FALSE,S
