Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p8AR,33.12618,578.1766,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,75,9.075,5.092856,8,FALSE,L
1,366,44.286,8.450176,22,FALSE,L
2,4,0.484,0,0,FALSE,M
3,51,6.171,3.540422,5,FALSE,S
4,0,0,0,0,TRUE,M
5,1229,148.709,44.26766,53,FALSE,L
6,8,0.968,0,0,TRUE,M
7,11,1.331,0,0,TRUE,M
8,5,0.605,0,0,TRUE,M
9,8,0.968,0.2183486,1,FALSE,M
10,26,3.146,1.957699,4,FALSE,M
11,855,103.455,23.70922,42,TRUE,L
12,71,8.591,0,0,FALSE,S
13,28,3.388,0,0,FALSE,S
14,972,117.612,26.34333,54,FALSE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,TRUE,S
18,0,0,0,0,FALSE,S
19,0,0,0,0,FALSE,S
20,10,1.21,1.458479,5,TRUE,S
21,111,13.431,0,0,FALSE,S
22,0,0,0,0,TRUE,S
23,0,0,0,0,TRUE,S
24,0,0,0,0,FALSE,S
25,0,0,0,0,FALSE,S
26,2,0.242,0,0,FALSE,S
27,0,0,0,0,FALSE,S
28,0,0,0,0,FALSE,S
29,14,1.694,3.334037,2,FALSE,S
