Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p4AR,142.8021,714.2319,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,257,31.097,3.474895,10,FALSE,L
1,126,15.246,1.89728,6,FALSE,L
2,132,15.972,8.343748,15,FALSE,M
3,62,7.502,3.809143,9,FALSE,S
4,119,14.399,2.586786,4,FALSE,M
5,508,61.468,7.31227,17,TRUE,L
6,95,11.495,1.528353,2,FALSE,M
7,186,22.506,12.03378,25,FALSE,M
8,105,12.705,6.323695,13,FALSE,M
9,174,21.054,7.781474,15,FALSE,M
10,29,3.509,2.43986,5,FALSE,M
11,238,28.798,6.386814,11,TRUE,L
12,68,8.228,0,0,FALSE,S
13,12,1.452,0,0,FALSE,S
14,450,54.45,18.01931,25,TRUE,L
15,0,0,0,0,FALSE,S
16,9,1.089,0.4388591,1,FALSE,S
17,21,2.541,1.945793,5,TRUE,S
18,6,0.726,0,0,FALSE,S
19,50,6.05,0.8917771,3,FALSE,S
20,34,4.114,1.378525,3,TRUE,S
21,34,4.114,0,0,FALSE,S
22,46,5.566,1.951632,4,FALSE,S
23,13,1.573,1.17887,1,TRUE,S
24,12,1.452,3.028682,5,TRUE,S
25,9,1.089,1.653243,1,TRUE,S
26,0,0,0,0,FALSE,S
27,21,2.541,0.6732342,2,FALSE,S
28,5,0.605,1.18936,1,FALSE,S
29,21,2.541,4.168901,3,FALSE,S
